software,spearman,spearman_pvalue,>=R2
Android,0.235925524,None,0.95
Android,0.285553694,None,0.9
Android,0.349844226,0.05,0.85
Android,0.373861427,0.01,0.8
Android,0.373861427,0.01,0.75
Android,0.373861427,0.01,0.7
Android,0.373861427,0.01,0.65
Android,0.373861427,0.01,0.6
Android,0.373861427,0.01,0.55
Android,0.373861427,0.01,0.5
Android,0.373861427,0.01,0.45
Android,0.373861427,0.01,0.4
Android,0.373861427,0.01,0.35
Android,0.373861427,0.01,0.3
Android,0.373861427,0.01,0.25
Android,0.373861427,0.01,0.2
Android,0.373861427,0.01,0.15
Android,0.373861427,0.01,0.1
Android,0.373861427,0.01,0.05
Android,0.351521636,0.05,0
hazelcast-3.3,0.122996124,0.01,0.95
hazelcast-3.3,0.107069574,0.01,0.9
hazelcast-3.3,0.111936688,0.01,0.85
hazelcast-3.3,0.122510276,0.01,0.8
hazelcast-3.3,0.127637459,0.01,0.75
hazelcast-3.3,0.124107912,0.01,0.7
hazelcast-3.3,0.121134717,0.01,0.65
hazelcast-3.3,0.120073997,0.01,0.6
hazelcast-3.3,0.121949161,0.01,0.55
hazelcast-3.3,0.121949161,0.01,0.5
hazelcast-3.3,0.121949161,0.01,0.45
hazelcast-3.3,0.121949161,0.01,0.4
hazelcast-3.3,0.121949161,0.01,0.35
hazelcast-3.3,0.12214762,0.01,0.3
hazelcast-3.3,0.12214762,0.01,0.25
hazelcast-3.3,0.12214762,0.01,0.2
hazelcast-3.3,0.12214762,0.01,0.15
hazelcast-3.3,0.12214762,0.01,0.1
hazelcast-3.3,0.12214762,0.01,0.05
hazelcast-3.3,0.123552604,0.01,0
JUnit,0.178510785,0.05,0.95
JUnit,0.163676957,0.05,0.9
JUnit,0.123394775,None,0.85
JUnit,0.120442135,None,0.8
JUnit,0.120442135,None,0.75
JUnit,0.114340033,None,0.7
JUnit,0.114340033,None,0.65
JUnit,0.114340033,None,0.6
JUnit,0.114340033,None,0.55
JUnit,0.114340033,None,0.5
JUnit,0.114340033,None,0.45
JUnit,0.114340033,None,0.4
JUnit,0.114340033,None,0.35
JUnit,0.114340033,None,0.3
JUnit,0.114340033,None,0.25
JUnit,0.114340033,None,0.2
JUnit,0.114340033,None,0.15
JUnit,0.114340033,None,0.1
JUnit,0.114340033,None,0.05
JUnit,0.102093404,None,0
mapdb-0.9.6,0.179209796,None,0.95
mapdb-0.9.6,0.22299214,0.05,0.9
mapdb-0.9.6,0.224263138,0.05,0.85
mapdb-0.9.6,0.188247937,None,0.8
mapdb-0.9.6,0.182921281,None,0.75
mapdb-0.9.6,0.148945557,None,0.7
