software,spearman,spearman_pvalue,>=R2
Android,0.099391483,None,0.95
Android,0.19100675,None,0.9
Android,0.25971546,None,0.85
Android,0.26922812,None,0.8
Android,0.26922812,None,0.75
Android,0.26922812,None,0.7
Android,0.26922812,None,0.65
Android,0.26922812,None,0.6
Android,0.26922812,None,0.55
Android,0.26922812,None,0.5
Android,0.26922812,None,0.45
Android,0.26922812,None,0.4
Android,0.26922812,None,0.35
Android,0.26922812,None,0.3
Android,0.26922812,None,0.25
Android,0.26922812,None,0.2
Android,0.26922812,None,0.15
Android,0.26922812,None,0.1
Android,0.26922812,None,0.05
Android,0.296463187,0.05,0
hazelcast-3.3,0.196924073,0.01,0.95
hazelcast-3.3,0.224534337,0.01,0.9
hazelcast-3.3,0.242761538,0.01,0.85
hazelcast-3.3,0.252776677,0.01,0.8
hazelcast-3.3,0.260703466,0.01,0.75
hazelcast-3.3,0.262781274,0.01,0.7
hazelcast-3.3,0.26202517,0.01,0.65
hazelcast-3.3,0.262454474,0.01,0.6
hazelcast-3.3,0.261675362,0.01,0.55
hazelcast-3.3,0.261675362,0.01,0.5
hazelcast-3.3,0.261675362,0.01,0.45
hazelcast-3.3,0.261675362,0.01,0.4
hazelcast-3.3,0.261675362,0.01,0.35
hazelcast-3.3,0.261814056,0.01,0.3
hazelcast-3.3,0.261814056,0.01,0.25
hazelcast-3.3,0.261814056,0.01,0.2
hazelcast-3.3,0.261814056,0.01,0.15
hazelcast-3.3,0.261814056,0.01,0.1
hazelcast-3.3,0.261814056,0.01,0.05
hazelcast-3.3,0.264052791,0.01,0
JUnit,0.08599644,None,0.95
JUnit,0.059169176,None,0.9
JUnit,0.108033186,None,0.85
JUnit,0.106669157,None,0.8
JUnit,0.106669157,None,0.75
JUnit,0.102457881,None,0.7
JUnit,0.102457881,None,0.65
JUnit,0.102457881,None,0.6
JUnit,0.102457881,None,0.55
JUnit,0.102457881,None,0.5
JUnit,0.102457881,None,0.45
JUnit,0.102457881,None,0.4
JUnit,0.102457881,None,0.35
JUnit,0.102457881,None,0.3
JUnit,0.102457881,None,0.25
JUnit,0.102457881,None,0.2
JUnit,0.102457881,None,0.15
JUnit,0.102457881,None,0.1
JUnit,0.102457881,None,0.05
JUnit,0.13381076,0.05,0
mapdb-0.9.6,0.426578154,0.01,0.95
mapdb-0.9.6,0.40045746,0.01,0.9
mapdb-0.9.6,0.392331091,0.01,0.85
mapdb-0.9.6,0.353008726,0.01,0.8
mapdb-0.9.6,0.338103055,0.01,0.75
mapdb-0.9.6,0.318828494,0.01,0.7
mapdb-0.9.6,0.320903979,0.01,0.65
mapdb-0.9.6,0.320903979,0.01,0.6
mapdb-0.9.6,0.320903979,0.01,0.55
mapdb-0.9.6,0.320903979,0.01,0.5
mapdb-0.9.6,0.320903979,0.01,0.45
mapdb-0.9.6,0.320903979,0.01,0.4
mapdb-0.9.6,0.320903979,0.01,0.35
mapdb-0.9.6,0.320903979,0.01,0.3
mapdb-0.9.6,0.320903979,0.01,0.25
mapdb-0.9.6,0.320903979,0.01,0.2
mapdb-0.9.6,0.320903979,0.01,0.15
mapdb-0.9.6,0.320903979,0.01,0.1
mapdb-0.9.6,0.320903979,0.01,0.05
mapdb-0.9.6,0.323733155,0.01,0
Neo4j,0.035225508,None,0.95
Neo4j,0.050385048,0.05,0.9
