software,spearman,spearman_pvalue,>=R2
Android,0.090970603,None,0.95
Android,0.168147937,None,0.9
Android,0.237666667,None,0.85
Android,0.261397704,None,0.8
Android,0.261397704,None,0.75
Android,0.261397704,None,0.7
Android,0.261397704,None,0.65
Android,0.261397704,None,0.6
Android,0.261397704,None,0.55
Android,0.261397704,None,0.5
Android,0.261397704,None,0.45
Android,0.261397704,None,0.4
Android,0.261397704,None,0.35
Android,0.261397704,None,0.3
Android,0.261397704,None,0.25
Android,0.261397704,None,0.2
Android,0.261397704,None,0.15
Android,0.261397704,None,0.1
Android,0.261397704,None,0.05
Android,0.267147076,None,0
hazelcast-3.3,0.103049051,0.01,0.95
hazelcast-3.3,0.093878283,0.01,0.9
hazelcast-3.3,0.09467271,0.01,0.85
hazelcast-3.3,0.101210695,0.01,0.8
hazelcast-3.3,0.10171441,0.01,0.75
hazelcast-3.3,0.096361797,0.01,0.7
hazelcast-3.3,0.094024685,0.01,0.65
hazelcast-3.3,0.091509905,0.01,0.6
hazelcast-3.3,0.093492094,0.01,0.55
hazelcast-3.3,0.093492094,0.01,0.5
hazelcast-3.3,0.093492094,0.01,0.45
hazelcast-3.3,0.093492094,0.01,0.4
hazelcast-3.3,0.093492094,0.01,0.35
hazelcast-3.3,0.09372329,0.01,0.3
hazelcast-3.3,0.09372329,0.01,0.25
hazelcast-3.3,0.09372329,0.01,0.2
hazelcast-3.3,0.09372329,0.01,0.15
hazelcast-3.3,0.09372329,0.01,0.1
hazelcast-3.3,0.09372329,0.01,0.05
hazelcast-3.3,0.095984857,0.01,0
JUnit,0.164198208,0.05,0.95
JUnit,0.139496573,None,0.9
JUnit,0.160021707,0.05,0.85
JUnit,0.154240448,0.05,0.8
JUnit,0.154240448,0.05,0.75
JUnit,0.146661209,0.05,0.7
JUnit,0.146661209,0.05,0.65
JUnit,0.146661209,0.05,0.6
JUnit,0.146661209,0.05,0.55
JUnit,0.146661209,0.05,0.5
JUnit,0.146661209,0.05,0.45
JUnit,0.146661209,0.05,0.4
JUnit,0.146661209,0.05,0.35
JUnit,0.146661209,0.05,0.3
JUnit,0.146661209,0.05,0.25
JUnit,0.146661209,0.05,0.2
JUnit,0.146661209,0.05,0.15
JUnit,0.146661209,0.05,0.1
JUnit,0.146661209,0.05,0.05
JUnit,0.153181155,0.05,0
mapdb-0.9.6,0.213923873,None,0.95
mapdb-0.9.6,0.201659838,None,0.9
mapdb-0.9.6,0.203093422,None,0.85
mapdb-0.9.6,0.147727892,None,0.8
mapdb-0.9.6,0.142038425,None,0.75
mapdb-0.9.6,0.115264904,None,0.7
mapdb-0.9.6,0.119458756,None,0.65
mapdb-0.9.6,0.119458756,None,0.6
mapdb-0.9.6,0.119458756,None,0.55
mapdb-0.9.6,0.119458756,None,0.5
mapdb-0.9.6,0.119458756,None,0.45
mapdb-0.9.6,0.119458756,None,0.4
mapdb-0.9.6,0.119458756,None,0.35
mapdb-0.9.6,0.119458756,None,0.3
mapdb-0.9.6,0.119458756,None,0.25
mapdb-0.9.6,0.119458756,None,0.2
mapdb-0.9.6,0.119458756,None,0.15
mapdb-0.9.6,0.119458756,None,0.1
mapdb-0.9.6,0.119458756,None,0.05
mapdb-0.9.6,0.116059242,None,0
Neo4j,-0.044979719,0.05,0.95
Neo4j,-0.049265931,0.05,0.9
Neo4j,-0.047682907,0.05,0.85
Neo4j,-0.05644389,0.01,0.8
Neo4j,-0.056284564,0.01,0.75
Neo4j,-0.058065542,0.01,0.7
Neo4j,-0.057812119,0.01,0.65
Neo4j,-0.057242537,0.01,0.6
Neo4j,-0.057242537,0.01,0.55
Neo4j,-0.057242537,0.01,0.5
Neo4j,-0.057242537,0.01,0.45
Neo4j,-0.057242537,0.01,0.4
Neo4j,-0.057242537,0.01,0.35
Neo4j,-0.057242537,0.01,0.3
Neo4j,-0.057242537,0.01,0.25
Neo4j,-0.057242537,0.01,0.2
Neo4j,-0.057242537,0.01,0.15
Neo4j,-0.057242537,0.01,0.1
Neo4j,-0.057242537,0.01,0.05
Neo4j,-0.055810562,0.01,0
Netty,0.143254137,0.01,0.95
Netty,0.157464732,0.01,0.9
Netty,0.137172056,0.01,0.85
Netty,0.143018776,0.01,0.8
Netty,0.135223982,0.01,0.75
Netty,0.131567426,0.01,0.7
Netty,0.128315675,0.01,0.65
Netty,0.125001908,0.01,0.6
Netty,0.129018472,0.01,0.55
Netty,0.129018472,0.01,0.5
Netty,0.129018472,0.01,0.45
Netty,0.129018472,0.01,0.4
Netty,0.129018472,0.01,0.35
Netty,0.129018472,0.01,0.3
Netty,0.129018472,0.01,0.25
Netty,0.129018472,0.01,0.2
Netty,0.129018472,0.01,0.15
Netty,0.129018472,0.01,0.1
Netty,0.129018472,0.01,0.05
Netty,0.128293135,0.01,0
ant-1.7,0.366997388,0.01,0.95
ant-1.7,0.464823036,0.01,0.9
ant-1.7,0.494620984,0.01,0.85
ant-1.7,0.475061283,0.01,0.8
ant-1.7,0.480435947,0.01,0.75
ant-1.7,0.491475309,0.01,0.7
ant-1.7,0.491665052,0.01,0.65
ant-1.7,0.492944102,0.01,0.6
ant-1.7,0.492944102,0.01,0.55
ant-1.7,0.492944102,0.01,0.5
ant-1.7,0.492944102,0.01,0.45
ant-1.7,0.492944102,0.01,0.4
ant-1.7,0.492944102,0.01,0.35
ant-1.7,0.492944102,0.01,0.3
ant-1.7,0.492944102,0.01,0.25
ant-1.7,0.492944102,0.01,0.2
ant-1.7,0.492944102,0.01,0.15
ant-1.7,0.492944102,0.01,0.1
ant-1.7,0.492944102,0.01,0.05
ant-1.7,0.489983654,0.01,0
camel-1.0,0.161968464,0.05,0.95
camel-1.0,0.124427952,None,0.9
camel-1.0,0.133984223,0.05,0.85
camel-1.0,0.148425942,0.05,0.8
camel-1.0,0.135598208,0.05,0.75
camel-1.0,0.130203018,0.05,0.7
camel-1.0,0.147512895,0.05,0.65
camel-1.0,0.146306663,0.05,0.6
camel-1.0,0.144903428,0.05,0.55
camel-1.0,0.144903428,0.05,0.5
camel-1.0,0.144903428,0.05,0.45
camel-1.0,0.144903428,0.05,0.4
camel-1.0,0.144903428,0.05,0.35
camel-1.0,0.144903428,0.05,0.3
camel-1.0,0.144903428,0.05,0.25
camel-1.0,0.144903428,0.05,0.2
camel-1.0,0.144903428,0.05,0.15
camel-1.0,0.144903428,0.05,0.1
camel-1.0,0.144903428,0.05,0.05
camel-1.0,0.145948386,0.05,0
ivy-2.0,0.223925596,0.01,0.95
ivy-2.0,0.272180183,0.01,0.9
ivy-2.0,0.328983103,0.01,0.85
ivy-2.0,0.337258534,0.01,0.8
ivy-2.0,0.34764778,0.01,0.75
ivy-2.0,0.358450992,0.01,0.7
ivy-2.0,0.358030843,0.01,0.65
ivy-2.0,0.358030843,0.01,0.6
ivy-2.0,0.358030843,0.01,0.55
ivy-2.0,0.355996786,0.01,0.5
ivy-2.0,0.355996786,0.01,0.45
ivy-2.0,0.355996786,0.01,0.4
ivy-2.0,0.355996786,0.01,0.35
ivy-2.0,0.355996786,0.01,0.3
ivy-2.0,0.355996786,0.01,0.25
ivy-2.0,0.355996786,0.01,0.2
ivy-2.0,0.355996786,0.01,0.15
ivy-2.0,0.355996786,0.01,0.1
ivy-2.0,0.355996786,0.01,0.05
ivy-2.0,0.356332385,0.01,0
jedit-4.2,0.358776273,0.01,0.95
jedit-4.2,0.336779856,0.01,0.9
jedit-4.2,0.372971022,0.01,0.85
jedit-4.2,0.389463919,0.01,0.8
jedit-4.2,0.391435471,0.01,0.75
jedit-4.2,0.393615634,0.01,0.7
jedit-4.2,0.400100663,0.01,0.65
jedit-4.2,0.407340314,0.01,0.6
jedit-4.2,0.407340314,0.01,0.55
jedit-4.2,0.407340314,0.01,0.5
jedit-4.2,0.407340314,0.01,0.45
jedit-4.2,0.407340314,0.01,0.4
jedit-4.2,0.407340314,0.01,0.35
jedit-4.2,0.407340314,0.01,0.3
jedit-4.2,0.407340314,0.01,0.25
jedit-4.2,0.407340314,0.01,0.2
jedit-4.2,0.407340314,0.01,0.15
jedit-4.2,0.407340314,0.01,0.1
jedit-4.2,0.407340314,0.01,0.05
jedit-4.2,0.40713886,0.01,0
lucene-2.2,0.277333083,0.01,0.95
lucene-2.2,0.280248275,0.01,0.9
lucene-2.2,0.339025551,0.01,0.85
lucene-2.2,0.341161973,0.01,0.8
lucene-2.2,0.339522922,0.01,0.75
lucene-2.2,0.342210063,0.01,0.7
lucene-2.2,0.342210063,0.01,0.65
lucene-2.2,0.342210063,0.01,0.6
lucene-2.2,0.342210063,0.01,0.55
lucene-2.2,0.342210063,0.01,0.5
lucene-2.2,0.342210063,0.01,0.45
lucene-2.2,0.342210063,0.01,0.4
lucene-2.2,0.342210063,0.01,0.35
lucene-2.2,0.342210063,0.01,0.3
lucene-2.2,0.342210063,0.01,0.25
lucene-2.2,0.342210063,0.01,0.2
lucene-2.2,0.342210063,0.01,0.15
lucene-2.2,0.342210063,0.01,0.1
lucene-2.2,0.342210063,0.01,0.05
lucene-2.2,0.343099663,0.01,0
poi-2.0,0.158855148,0.05,0.95
poi-2.0,0.190476332,0.01,0.9
poi-2.0,0.205497643,0.01,0.85
poi-2.0,0.206395984,0.01,0.8
poi-2.0,0.194742958,0.01,0.75
poi-2.0,0.198766709,0.01,0.7
poi-2.0,0.195061647,0.01,0.65
poi-2.0,0.195061647,0.01,0.6
poi-2.0,0.195061647,0.01,0.55
poi-2.0,0.195061647,0.01,0.5
poi-2.0,0.195061647,0.01,0.45
poi-2.0,0.195061647,0.01,0.4
poi-2.0,0.195061647,0.01,0.35
poi-2.0,0.195061647,0.01,0.3
poi-2.0,0.195061647,0.01,0.25
poi-2.0,0.198052807,0.01,0.2
poi-2.0,0.198052807,0.01,0.15
poi-2.0,0.198052807,0.01,0.1
poi-2.0,0.198052807,0.01,0.05
poi-2.0,0.197408756,0.01,0
synapse-1.1,0.295024504,0.01,0.95
synapse-1.1,0.328626554,0.01,0.9
synapse-1.1,0.342991857,0.01,0.85
synapse-1.1,0.370118598,0.01,0.8
synapse-1.1,0.382923505,0.01,0.75
synapse-1.1,0.379086992,0.01,0.7
synapse-1.1,0.389880119,0.01,0.65
synapse-1.1,0.389880119,0.01,0.6
synapse-1.1,0.389880119,0.01,0.55
synapse-1.1,0.389880119,0.01,0.5
synapse-1.1,0.389880119,0.01,0.45
synapse-1.1,0.389880119,0.01,0.4
synapse-1.1,0.389880119,0.01,0.35
synapse-1.1,0.389880119,0.01,0.3
synapse-1.1,0.389880119,0.01,0.25
synapse-1.1,0.389880119,0.01,0.2
synapse-1.1,0.389880119,0.01,0.15
